ãÊï™,1989,1992,1993,1994,1995,2018,2019,2020,2021,2022,2023,2024,2025,2026
ïüéÉÇ∆ï€åí,"43,478","51,451","52,673","56,317","58,529","87,582","90,912","91,737","92,923","122,214","109,555","114,141","124,756","131,189"
ã≥àÁÇ∆ï∂âª,"84,864","94,418","94,335","95,113","102,199","81,924","89,009","86,622","83,651","84,089","85,312","99,102","102,496","111,526"
òJì≠Ç∆åoçœ,"27,296","43,145","37,404","36,294","43,205","33,798","35,095","31,636","38,192","41,175","49,590","50,416","56,614","54,791"
ê∂äàä¬ã´,"38,997","42,409","57,488","45,141","45,418","14,259","15,774","17,252","14,271","19,879","22,823","24,438","26,363","33,709"
ìsésÇÃêÆîı,"107,166","151,864","134,550","129,771","121,141","64,257","63,170","62,234","59,342","60,658","63,475","64,787","70,343","68,801"
åxé@Ç∆è¡ñh,"55,606","69,522","72,631","74,824","72,699","66,057","67,874","66,079","64,690","65,118","65,642","68,155","71,306","74,073"
äÈâÊÅEëçñ±,"65,920","51,469","46,838","43,178","45,852","28,843","42,058","40,973","48,871","24,121","26,287","30,437","33,868","34,976"
åˆç¬îÔ,"22,887","19,061","20,849","27,770","26,194","31,403","26,467","25,014","23,795","24,691","24,511","22,952","20,223","19,606"
ê≈òAìÆåoîÔìô,"74,746","85,155","74,835","70,010","76,765","104,089","107,961","105,472","106,039","115,348","125,439","124,665","138,945","147,459"
