年度,種別,値(%)
1993,東京都,10
1993,地方財政計画,8.1
1993,国,11.2
1994,東京都,11.6
1994,地方財政計画,13.1
1994,国,14.4
1995,東京都,10.2
1995,地方財政計画,13.7
1995,国,13.7
1996,東京都,11.7
1996,地方財政計画,15.2
1996,国,25.5
1997,東京都,8.2
1997,地方財政計画,13.9
1997,国,21.6
1998,東京都,7.9
1998,地方財政計画,12.7
1998,国,20
1999,東京都,9.1
1999,地方財政計画,12.7
1999,国,37.9
2000,東京都,6.7
2000,地方財政計画,12.5
2000,国,38.4
2001,東京都,5.8
2001,地方財政計画,13.3
2001,国,34.3
2002,東京都,6.3
2002,地方財政計画,14.4
2002,国,36.9
2003,東京都,7.6
2003,地方財政計画,17.5
2003,国,44.6
2004,東京都,8.5
2004,地方財政計画,16.7
2004,国,44.6
2005,東京都,6.2
2005,地方財政計画,14.6
2005,国,41.8
2006,東京都,5.8
2006,地方財政計画,13
2006,国,37.6
2007,東京都,4.2
2007,地方財政計画,11.6
2007,国,30.7
2008,東京都,3.9
2008,地方財政計画,11.5
2008,国,30.5
2009,東京都,5.7
2009,地方財政計画,14.3
2009,国,37.6
2010,東京都,7.6
2010,地方財政計画,16.4
2010,国,48
2011,東京都,7.3
2011,地方財政計画,13.9
2011,国,47.9
2012,東京都,8
2012,地方財政計画,13.6
2012,国,47.6
2013,東京都,7.2
2013,地方財政計画,13.6
2013,国,46.3
2014,東京都,6.6
2014,地方財政計画,12.7
2014,国,43
2015,東京都,6.5
2015,地方財政計画,11.1
2015,国,38.3
2016,東京都,5
2016,地方財政計画,10.3
2016,国,35.6
2017,東京都,4.3
2017,地方財政計画,10.6
2017,国,35.3
2018,東京都,3
2018,地方財政計画,10.6
2018,国,34.5
2019,東京都,2.8
2019,地方財政計画,10.5
2019,国,32.2
2020,東京都,2.8
2020,地方財政計画,10.2
2020,国,31.7
2021,東京都,7.9
2021,地方財政計画,12.5
2021,国,40.9
2022,東京都,3.8
2022,地方財政計画,8.4
2022,国,34.3
2023,東京都,3.6
2023,地方財政計画,7.4
2023,国,31.1
2024,東京都,3.7
2024,地方財政計画,6.7
2024,国,31.5
2025,東京都,2.2
2025,地方財政計画,6.1
2025,国,24.8
2026,東京都,2.3
2026,地方財政計画,6
2026,国,24.2
