年度,区分,区分2,金額（億円）
2018,都（一般会計当初予算）,財政規模,"70,460"
2018,都（一般会計当初予算）,一般歳出,"51,822"
2018,都（一般会計当初予算）,税収,"52,332"
2018,国（一般会計当初予算）,財政規模,"977,128"
2018,国（一般会計当初予算）,一般歳出,"588,958"
2018,国（一般会計当初予算）,税収,"590,790"
2018,地方財政対策（通常収支分）,財政規模,"868,973"
2018,地方財政対策（通常収支分）,一般歳出,"712,663"
2018,地方財政対策（通常収支分）,税収,"394,294"
2019,都（一般会計当初予算）,財政規模,"74,610"
2019,都（一般会計当初予算）,一般歳出,"55,979"
2019,都（一般会計当初予算）,税収,"55,032"
2019,国（一般会計当初予算）,財政規模,"994,291"
2019,国（一般会計当初予算）,一般歳出,"599,359"
2019,国（一般会計当初予算）,税収,"624,950"
2019,地方財政対策（通常収支分）,財政規模,"895,930"
2019,地方財政対策（通常収支分）,一般歳出,"741,159"
2019,地方財政対策（通常収支分）,税収,"401,633"
2020,都（一般会計当初予算）,財政規模,"73,540"
2020,都（一般会計当初予算）,一般歳出,"55,332"
2020,都（一般会計当初予算）,税収,"54,446"
2020,国（一般会計当初予算）,財政規模,"1,026,580"
2020,国（一般会計当初予算）,一般歳出,"634,972"
2020,国（一般会計当初予算）,税収,"635,130"
2020,地方財政対策（通常収支分）,財政規模,"907,397"
2020,地方財政対策（通常収支分）,一般歳出,"758,480"
2020,地方財政対策（通常収支分）,税収,"409,366"
2021,都（一般会計当初予算）,財政規模,"74,250"
2021,都（一般会計当初予算）,一般歳出,"56,122"
2021,都（一般会計当初予算）,税収,"50,450"
2021,国（一般会計当初予算）,財政規模,"1,066,097"
2021,国（一般会計当初予算）,一般歳出,"669,020"
2021,国（一般会計当初予算）,税収,"574,480"
2021,地方財政対策（通常収支分）,財政規模,"898,060"
2021,地方財政対策（通常収支分）,一般歳出,"754,043"
2021,地方財政対策（通常収支分）,税収,"380,802"
2022,都（一般会計当初予算）,財政規模,"78,010"
2022,都（一般会計当初予算）,一般歳出,"58,407"
2022,都（一般会計当初予算）,税収,"56,308"
2022,国（一般会計当初予算）,財政規模,"1,075,964"
2022,国（一般会計当初予算）,一般歳出,"673,746"
2022,国（一般会計当初予算）,税収,"652,350"
2022,地方財政対策（通常収支分）,財政規模,"905,918"
2022,地方財政対策（通常収支分）,一般歳出,"758,761"
2022,地方財政対策（通常収支分）,税収,"412,305"
2023,都（一般会計当初予算）,財政規模,"80,410"
2023,都（一般会計当初予算）,一般歳出,"59,354"
2023,都（一般会計当初予算）,税収,"62,010"
2023,国（一般会計当初予算）,財政規模,"1,143,812"
2023,国（一般会計当初予算）,一般歳出,"727,317"
2023,国（一般会計当初予算）,税収,"694,400"
2023,地方財政対策（通常収支分）,財政規模,"920,400"
2023,地方財政対策（通常収支分）,一般歳出,"764,800"
2023,地方財政対策（通常収支分）,税収,"428,751"
2024,都（一般会計当初予算）,財政規模,"84,530"
2024,都（一般会計当初予算）,一般歳出,"63,702"
2024,都（一般会計当初予算）,税収,"63,865"
2024,国（一般会計当初予算）,財政規模,"1,125,717"
2024,国（一般会計当初予算）,一般歳出,"677,764"
2024,国（一般会計当初予算）,税収,"696,080"
2024,地方財政対策（通常収支分）,財政規模,"936,400"
2024,地方財政対策（通常収支分）,一般歳出,"784,600"
2024,地方財政対策（通常収支分）,税収,"427,330"
2025,都（一般会計当初予算）,財政規模,"91,580"
2025,都（一般会計当初予算）,一般歳出,"68,978"
2025,都（一般会計当初予算）,税収,"69,296"
2025,国（一般会計当初予算）,財政規模,"1,155,415"
2025,国（一般会計当初予算）,一般歳出,"682,452"
2025,国（一般会計当初予算）,税収,"784,400"
2025,地方財政対策（通常収支分）,財政規模,"970,100"
2025,地方財政対策（通常収支分）,一般歳出,"812,800"
2025,地方財政対策（通常収支分）,税収,"454,493"
2026,都（一般会計当初予算）,財政規模,"96,530"
2026,都（一般会計当初予算）,一般歳出,"72,678"
2026,都（一般会計当初予算）,税収,"73,856"
2026,国（一般会計当初予算）,財政規模,"1,223,092"
2026,国（一般会計当初予算）,一般歳出,"701,557"
2026,国（一般会計当初予算）,税収,"837,350"
2026,地方財政計画（通常収支分）,財政規模,"1,024,400"
2026,地方財政計画（通常収支分）,一般歳出,"855,500"
2026,地方財政計画（通常収支分）,税収,"478,185"
