公金支出情報（令和　７年　４月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和07年04月10日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出（一需）４月分,"50,000 "
政策企画局,総務部,企画計理課,令和07年04月11日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出（役務）４月分,"50,000 "
政策企画局,総務部,総務課,令和07年04月11日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出（一般需用費４月分）,"80,000 "
政策企画局,総務部,総務課,令和07年04月11日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費４月分）,"60,000 "
政策企画局,総務部,秘書課,令和07年04月01日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出(一般需用費・４月分),"250,000 "
政策企画局,総務部,秘書課,令和07年04月01日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出(役務費・４月分),"50,000 "
政策企画局,総務部,秘書課,令和07年04月01日,一般会計,総務費,政策企画費,管理費,交際費,令和７年度　知事等交際費の支出について（４月分）,"900,000 "
政策企画局,総務部,秘書課,令和07年04月01日,一般会計,総務費,政策企画費,管理費,役務費,モバイルWi-Fiルーター料金の払込について(４月分),"11,688 "
政策企画局,総務部,秘書課,令和07年04月04日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,行幸啓に伴う自動車の借り上げについて,"134,400 "
政策企画局,総務部,秘書課,令和07年04月18日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,衛星無線機の借入れ,"55,000 "
政策企画局,総務部,秘書課,令和07年04月30日,一般会計,総務費,政策企画費,管理費,役務費,モバイルWi-Fiルーター料金の払込について(５月分),"10,588 "
政策企画局,戦略広報部,企画調整課,令和07年04月22日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和7年度フォントライセンスの提供,"198,000 "
政策企画局,戦略広報部,企画調整課,令和07年04月23日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7複数少額支払の資金前渡金(一般需用費)(４月分支出),"150,000 "
政策企画局,戦略広報部,企画調整課,令和07年04月23日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7複数少額支払の資金前渡(役務費)(４月分支出),"100,000 "
