公金支出情報（令和　７年　５月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和07年05月09日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,一般日刊紙の購読に係る支払（４月分）,"27,980 "
政策企画局,総務部,企画計理課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出(一需)５月分,"13,973 "
政策企画局,総務部,総務課,令和07年05月16日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出（一般需用費５月分）,"3,598 "
政策企画局,総務部,総務課,令和07年05月16日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費５月分）,"34,160 "
政策企画局,総務部,総務課,令和07年05月16日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ファイル転送機器等の借入れに係る支出（４月分）,"76,230 "
政策企画局,総務部,総務課,令和07年05月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れに係る支出（４月分）,"265,760 "
政策企画局,総務部,総務課,令和07年05月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れ(その2)に係る支出(4月分),"92,730 "
政策企画局,総務部,総務課,令和07年05月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れ（４月分）,"35,464 "
政策企画局,総務部,総務課,令和07年05月26日,一般会計,総務費,政策企画費,管理費,役務費,Ｗｉ－ｆｉの借入れ（４月分）,"33,000 "
政策企画局,総務部,総務課,令和07年05月26日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入（４月分）,"8,901 "
政策企画局,総務部,総務課,令和07年05月26日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話料金の支払について（災害時優先電話４月分）,"1,769 "
政策企画局,総務部,総務課,令和07年05月26日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞（一般日刊紙）の購入（４月分）,"38,980 "
政策企画局,総務部,総務課,令和07年05月27日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣(秘書事務)(単価契約)の支払い,"340,978 "
