公金支出情報（令和　７年　６月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和7年6月2日,一般会計,総務費,政策企画費,管理費,役務費,６月分  公共料金支払,"10,773"
政策企画局,総務部,企画計理課,令和7年6月4日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,一般日刊紙の購読に係る支出（令和７年度分）,"27,980"
政策企画局,総務部,企画計理課,令和7年6月5日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支出(４月分),"315,272"
政策企画局,総務部,企画計理課,令和7年6月9日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出(役務)６月分,300
政策企画局,総務部,企画計理課,令和7年6月9日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出（一需）６月分,"33,978"
政策企画局,総務部,企画計理課,令和7年6月12日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支払(５月分),"248,041"
政策企画局,総務部,企画計理課,令和7年6月30日,一般会計,総務費,政策企画費,管理費,役務費,６月分  公共料金支払,"10,481"
政策企画局,総務部,総務課,令和7年6月2日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（４月分）,"95,376"
政策企画局,総務部,総務課,令和7年6月2日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（４月分）,"15,786"
政策企画局,総務部,総務課,令和7年6月2日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和７年第二回都議会定例会に伴う経費の支出について,"298,400"
政策企画局,総務部,総務課,令和7年6月2日,一般会計,総務費,政策企画費,管理費,委託料,令和７年度政策企画局転入科研修「人権・同和問題科」,"105,600"
政策企画局,総務部,総務課,令和7年6月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出（一般需用費６月分）,"25,795"
政策企画局,総務部,総務課,令和7年6月13日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費６月分）,"30,850"
政策企画局,総務部,総務課,令和7年6月17日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣(秘書事務)(単価契約)の支払い,"318,351"
政策企画局,総務部,総務課,令和7年6月20日,一般会計,総務費,政策企画費,管理費,旅費　普通旅費,定日払旅費の支出（非システム・R7年5月分）,"2,766"
政策企画局,総務部,総務課,令和7年6月23日,一般会計,総務費,政策企画費,管理費,委託料,文書の溶解処理委託に係る支出（５月分）,"4,092"
政策企画局,総務部,総務課,令和7年6月23日,一般会計,総務費,政策企画費,管理費,役務費,文書の溶解処理委託に係る支出（５月分）,"22,000"
政策企画局,総務部,総務課,令和7年6月23日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入（５月分）,"8,217"
政策企画局,総務部,総務課,令和7年6月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（５月分）,"14,154"
政策企画局,総務部,総務課,令和7年6月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（５月分）,"94,644"
政策企画局,総務部,総務課,令和7年6月24日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話料金の支払について（災害時優先電話５月分）,"4,962"
政策企画局,総務部,秘書課,令和7年6月4日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,写真の購入その１（単価契約）の支出について,"100,980"
政策企画局,総務部,秘書課,令和7年6月5日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞の購入に係る支出について（5月分）,"156,950"
政策企画局,総務部,秘書課,令和7年6月5日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ペーパーレス会議システム及びタブレット端末の借入れ,"341,682"
政策企画局,総務部,秘書課,令和7年6月5日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借り入れに係る支出について（5月分）,"24,200"
政策企画局,総務部,秘書課,令和7年6月5日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,大型ディスプレイの借入れに係る支出について,"38,500"
政策企画局,総務部,秘書課,令和7年6月5日,一般会計,総務費,政策企画費,管理費,役務費,電話料金（非常通報装置）の払込みについて（5月分）,"5,506"
政策企画局,総務部,秘書課,令和7年6月6日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,生け花及び造花の購入に係る支出について（５月分）,"30,800"
政策企画局,総務部,秘書課,令和7年6月9日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出（６月分）,"194,130"
政策企画局,総務部,秘書課,令和7年6月9日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出(６月分),"17,250"
政策企画局,総務部,秘書課,令和7年6月12日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支出について(5月分),"355,730"
政策企画局,総務部,秘書課,令和7年6月16日,一般会計,総務費,政策企画費,管理費,交際費,令和７年度　知事等交際費の支出について(６月分),"22,000"
政策企画局,総務部,秘書課,令和7年6月16日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,生花花籠の購入にかかる支出について（５月分）,"19,800"
政策企画局,総務部,秘書課,令和7年6月25日,一般会計,総務費,政策企画費,管理費,役務費,通信料金の払込みについて(5月分),"192,588"
政策企画局,総務部,秘書課,令和7年6月30日,一般会計,総務費,政策企画費,管理費,役務費,モバイルWi-Fiルーター料金の払込について(7月分),"9,752"
政策企画局,総務部,管理課,令和7年6月11日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,庁議室AV機器の借入れに要する経費の支出（５月分）,"173,580"
政策企画局,総務部,管理課,令和7年6月12日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,政策情報作成支援システム用サーバの借入れ(５月分),"733,700"
政策企画局,総務部,管理課,令和7年6月12日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,政策情報作成支援システム用端末の借入れ(５月分),"21,120"
政策企画局,総務部,管理課,令和7年6月12日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,庁議室放送設備等の借入れに要する経費の支出(５月分),"554,070"
政策企画局,総務部,管理課,令和7年6月18日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に要する経費の支出(４月分),"114,013"
政策企画局,総務部,管理課,令和7年6月18日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に要する経費の支出(５月分),"127,305"
政策企画局,総務部,管理課,令和7年6月25日,一般会計,総務費,政策企画費,管理費,旅費　普通旅費,旅費の支出について,966
政策企画局,総務部,管理課,令和7年6月26日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,令和７年第二回都議会定例会知事所信表明の印刷,"194,370"
政策企画局,戦略広報部,企画調整課,令和7年6月2日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R7都民の声業務支援DBサーバ機器等の借入れに係る支出,"335,412"
政策企画局,戦略広報部,企画調整課,令和7年6月2日,一般会計,総務費,政策企画費,広報広聴費,役務費,６月分  公共料金支払,"14,966"
政策企画局,戦略広報部,企画調整課,令和7年6月4日,一般会計,総務費,政策企画費,広報広聴費,委託料,R７年度都民の声業務支援DBの運用保守委託に係る支出,"155,573"
政策企画局,戦略広報部,企画調整課,令和7年6月6日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R７年度シュレッダーの借入れに係る経費の支出,"19,800"
政策企画局,戦略広報部,企画調整課,令和7年6月9日,一般会計,総務費,政策企画費,広報広聴費,役務費,地上デジタル放送番組情報配信委託の支払いについて,"66,000"
政策企画局,戦略広報部,企画調整課,令和7年6月9日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度ファクシミリの賃借に係る経費の支出,"5,720"
政策企画局,戦略広報部,企画調整課,令和7年6月9日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度チケットによるタクシー利用料金の支払,"207,920"
政策企画局,戦略広報部,企画調整課,令和7年6月10日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都民の声総合窓口運営委託に係る経費の支出,"291,500"
政策企画局,戦略広報部,企画調整課,令和7年6月11日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(4月分),"217,486"
政策企画局,戦略広報部,企画調整課,令和7年6月11日,一般会計,生活文化費,生活文化費,都民生活費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(4月分),"9,905"
政策企画局,戦略広報部,企画調整課,令和7年6月11日,一般会計,生活文化費,都民安全総合対策費,管理費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(4月分),"3,273"
政策企画局,戦略広報部,企画調整課,令和7年6月12日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度労働者派遣（秘書事務）（単価契約）の支払,"280,692"
政策企画局,戦略広報部,企画調整課,令和7年6月13日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,07複数少額資金前渡金(一般需用費)（５月分支出）,"57,351"
政策企画局,戦略広報部,企画調整課,令和7年6月13日,一般会計,総務費,政策企画費,広報広聴費,役務費,07複数少額資金前渡金(６月分支出分),"13,330"
政策企画局,戦略広報部,企画調整課,令和7年6月18日,一般会計,総務費,政策企画費,広報広聴費,役務費,Wi-Fiルーター通信回線に係る経費の支出（4月分）,"23,400"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都民の声総合窓口運営委託に係る経費の支出,"291,500"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,委託料,R７年度都民の声業務支援DBの運用保守委託に係る支出,"309,007"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R７年度シュレッダーの借入れに係る経費の支出,"19,800"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R7都民の声業務支援DBサーバ機器等の借入れに係る支出,"335,412"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,日刊紙の購読に係る経費の支出（４月分）,"130,020"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度ファクシミリの賃借に係る経費の支出,"5,720"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(5月分),"216,293"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,生活文化費,生活文化費,都民生活費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(5月分),"9,851"
政策企画局,戦略広報部,企画調整課,令和7年6月19日,一般会計,生活文化費,都民安全総合対策費,管理費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(5月分),"3,255"
政策企画局,戦略広報部,企画調整課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度チケットによるタクシー利用料金の支払,"83,280"
政策企画局,戦略広報部,企画調整課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度チケットによるタクシー利用料金の支払,"92,000"
政策企画局,戦略広報部,企画調整課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度チケットによるタクシー利用料金の支払,"6,400"
政策企画局,戦略広報部,企画調整課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度チケットによるタクシー利用料金の支払,"29,882"
政策企画局,戦略広報部,企画調整課,令和7年6月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,６月分  公共料金支払,"14,966"
政策企画局,戦略広報部,戦略広報課,令和7年6月2日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度プロンプター機材の賃借（長期継続契約）,"151,910"
