公金支出情報（令和　７年　７月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和07年07月04日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,一般日刊紙の購読に係る支出（令和７年度分）,"27,980 "
政策企画局,総務部,企画計理課,令和07年07月09日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出(一需)７月分,"15,400 "
政策企画局,総務部,企画計理課,令和07年07月23日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支払(６月分),"216,953 "
政策企画局,総務部,企画計理課,令和07年07月31日,一般会計,総務費,政策企画費,管理費,役務費,７月分  公共料金支払,"11,372 "
政策企画局,総務部,総務課,令和07年07月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,覗き見防止フィルターの購入,"111,760 "
政策企画局,総務部,総務課,令和07年07月10日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣(秘書事務)(単価契約)の支払い,"332,508 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ファイル転送機器等の借入れに係る支出（５月分）,"76,230 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れに係る支出（５月分）,"265,760 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れ(その2)に係る支出(5月分),"92,730 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れ（５月分）,"35,464 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,役務費,Ｗｉ－ｆｉの借入れ（５月分）,"33,000 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞（一般日刊紙）の購入（５月分）,"38,980 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,AED及び収納ボックスの借入れに係る支払（５月分）,"18,150 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出（一般需用費７月分）,"14,149 "
政策企画局,総務部,総務課,令和07年07月11日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費７月分）,"29,100 "
政策企画局,総務部,総務課,令和07年07月17日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ファイル転送機器等の借入れに係る支出（６月分）,"76,230 "
政策企画局,総務部,総務課,令和07年07月17日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れに係る支出（６月分）,"265,760 "
政策企画局,総務部,総務課,令和07年07月17日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れ(その2)に係る支出(6月分),"92,730 "
政策企画局,総務部,総務課,令和07年07月17日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れ（６月分）,"35,464 "
