公金支出情報（令和　７年　９月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和07年09月01日,一般会計,総務費,政策企画費,管理費,役務費,９月分  公共料金支払,"10,303 "
政策企画局,総務部,企画計理課,令和07年09月03日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,一般日刊紙の購読に係る支出（令和７年度分）,"27,980 "
政策企画局,総務部,企画計理課,令和07年09月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出(一需)(９月分),"16,720 "
政策企画局,総務部,企画計理課,令和07年09月11日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支払(８月分),"336,365 "
政策企画局,総務部,企画計理課,令和07年09月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービス（NIKKEI KAI）に係る支出について,"3,009,600 "
政策企画局,総務部,企画計理課,令和07年09月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービス（NIKKEI KAI）に係る支出について,"528,000 "
政策企画局,総務部,企画計理課,令和07年09月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービス（NIKKEI KAI）に係る支出について,"264,000 "
政策企画局,総務部,企画計理課,令和07年09月22日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービス（NIKKEI KAI）に係る支出について,"79,200 "
政策企画局,総務部,企画計理課,令和07年09月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービス（NIKKEI KAI）に係る支出について,"79,200 "
政策企画局,総務部,企画計理課,令和07年09月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービス（ChatGPT）に係る支出について,"240,000 "
政策企画局,総務部,企画計理課,令和07年09月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービス（ChatGPT）に係る支出について,"240,000 "
政策企画局,総務部,企画計理課,令和07年09月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービス（ChatGPT）に係る支出について,"540,000 "
政策企画局,総務部,企画計理課,令和07年09月30日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービス（ChatGPT）に係る支出について,"456,000 "
政策企画局,総務部,企画計理課,令和07年09月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービス（ChatGPT）に係る支出について,"234,000 "
政策企画局,総務部,企画計理課,令和07年09月30日,一般会計,総務費,政策企画費,管理費,役務費,９月分  公共料金支払,"9,251 "
政策企画局,総務部,総務課,令和07年09月01日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（７月分）,"39,715 "
政策企画局,総務部,総務課,令和07年09月01日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（７月分）,"24,760 "
政策企画局,総務部,総務課,令和07年09月01日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（７月分）,"15,420 "
政策企画局,総務部,総務課,令和07年09月11日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣(秘書事務)(単価契約)の支払い,"319,924 "
政策企画局,総務部,総務課,令和07年09月12日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費９月分）,"13,000 "
政策企画局,総務部,総務課,令和07年09月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ファイル転送機器等の借入れに係る支出（８月分）,"76,230 "
政策企画局,総務部,総務課,令和07年09月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れに係る支出（８月分）,"265,760 "
政策企画局,総務部,総務課,令和07年09月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れ(その2)に係る支出(8月分),"92,730 "
政策企画局,総務部,総務課,令和07年09月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れ（８月分）,"35,464 "
政策企画局,総務部,総務課,令和07年09月19日,一般会計,総務費,政策企画費,管理費,役務費,Ｗｉ－ｆｉの借入れ（８月分）,"33,000 "
政策企画局,総務部,総務課,令和07年09月19日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞（一般日刊紙）の購入（８月分）,"38,980 "
政策企画局,総務部,総務課,令和07年09月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,AED及び収納ボックスの借入れに係る支払（８月分）,"18,150 "
政策企画局,総務部,総務課,令和07年09月26日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入（８月分）,"10,089 "
政策企画局,総務部,総務課,令和07年09月26日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,「事業概要　令和７年版」の印刷,"191,400 "
政策企画局,総務部,総務課,令和07年09月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和７年第三回都議会定例会に伴う経費の支出について,"623,700 "
