公金支出情報（令和　７年１０月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和07年10月03日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,一般日刊紙の購読に係る支出（令和７年度分）,"27,980 "
政策企画局,総務部,企画計理課,令和07年10月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出(一需)(10月分),"10,865 "
政策企画局,総務部,企画計理課,令和07年10月08日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出(役務)(10月分),"1,100 "
政策企画局,総務部,企画計理課,令和07年10月09日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支払(９月分),"340,589 "
政策企画局,総務部,企画計理課,令和07年10月17日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,「令和6年度　東京都一般会計決算説明書」外2点の印刷,"188,320 "
政策企画局,総務部,企画計理課,令和07年10月31日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"240,000 "
政策企画局,総務部,企画計理課,令和07年10月31日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"210,000 "
政策企画局,総務部,企画計理課,令和07年10月31日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"510,000 "
政策企画局,総務部,企画計理課,令和07年10月31日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"438,000 "
政策企画局,総務部,企画計理課,令和07年10月31日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"228,000 "
政策企画局,総務部,企画計理課,令和07年10月31日,一般会計,総務費,政策企画費,管理費,役務費,１０月分  公共料金支払,"11,438 "
政策企画局,総務部,総務課,令和07年10月01日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（８月分）,"115,862 "
政策企画局,総務部,総務課,令和07年10月01日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（８月分）,"63,595 "
政策企画局,総務部,総務課,令和07年10月01日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（８月分）,"15,604 "
政策企画局,総務部,総務課,令和07年10月10日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費10月分）,"10,810 "
政策企画局,総務部,総務課,令和07年10月17日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣(秘書事務)(単価契約)の支払い,"324,643 "
政策企画局,総務部,総務課,令和07年10月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ファイル転送機器等の借入れに係る支出（９月分）,"76,230 "
政策企画局,総務部,総務課,令和07年10月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れに係る支出（９月分）,"265,760 "
政策企画局,総務部,総務課,令和07年10月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れ(その2)に係る支出(9月分),"92,730 "
政策企画局,総務部,総務課,令和07年10月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れ（９月分）,"35,464 "
政策企画局,総務部,総務課,令和07年10月22日,一般会計,総務費,政策企画費,管理費,役務費,Ｗｉ－ｆｉの借入れ（９月分）,"33,000 "
政策企画局,総務部,総務課,令和07年10月22日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞（一般日刊紙）の購入（９月分）,"38,980 "
政策企画局,総務部,総務課,令和07年10月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,AED及び収納ボックスの借入れに係る支払（９月分）,"18,150 "
政策企画局,総務部,総務課,令和07年10月23日,一般会計,総務費,建築保全費,営繕費,工事請負費,都庁第一本庁舎11階間仕切改修工事,"649,000 "
政策企画局,総務部,総務課,令和07年10月23日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話料金の支払について（災害時優先電話９月分）,"1,082 "
政策企画局,総務部,総務課,令和07年10月28日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入（９月分）,"8,406 "
政策企画局,総務部,総務課,令和07年10月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（９月分）,"344,907 "
政策企画局,総務部,総務課,令和07年10月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（９月分）,"84,220 "
政策企画局,総務部,総務課,令和07年10月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（９月分）,"70,243 "
政策企画局,総務部,秘書課,令和07年10月01日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,表彰旗（片面垂旗）の購入,"704,000 "
政策企画局,総務部,秘書課,令和07年10月03日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,令和７年度東京都功労者名簿の印刷,"249,480 "
政策企画局,総務部,秘書課,令和07年10月06日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞の購入に係る支出について,"156,950 "
政策企画局,総務部,秘書課,令和07年10月06日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ペーパーレス会議システム及びタブレット端末の借入れ,"341,682 "
政策企画局,総務部,秘書課,令和07年10月06日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借り入れに係る支出について(9月分),"24,200 "
政策企画局,総務部,秘書課,令和07年10月06日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,大型ディスプレイの借入れに係る支出について(9月分),"38,500 "
政策企画局,総務部,秘書課,令和07年10月06日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,銀杯の購入（単価契約）の支出について,"1,237,742 "
政策企画局,総務部,秘書課,令和07年10月06日,一般会計,総務費,政策企画費,管理費,役務費,電話料金（非常通報装置）の払込みについて,"5,508 "
政策企画局,総務部,秘書課,令和07年10月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,切り花の購入に係る支出(7～9月分),"127,985 "
政策企画局,総務部,秘書課,令和07年10月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,生け花及び造花の購入に係る支出について(９月分),"37,950 "
政策企画局,総務部,秘書課,令和07年10月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出(一般需用費・10月分),"199,995 "
政策企画局,総務部,秘書課,令和07年10月08日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出(役務費・10月分),"9,642 "
政策企画局,総務部,秘書課,令和07年10月10日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,ようかんの購入に係る支出について（7～9月分）,"2,806 "
政策企画局,総務部,秘書課,令和07年10月10日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,クリスタルトロフィーの購入(単価契約)の支出について,"373,719 "
政策企画局,総務部,秘書課,令和07年10月10日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支出について(9月分),"274,998 "
政策企画局,総務部,秘書課,令和07年10月14日,一般会計,総務費,政策企画費,管理費,委託料,令和７年度東京都功労者表彰式会場設営委託,"993,960 "
政策企画局,総務部,秘書課,令和07年10月14日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,卓上装花の購入に係る支出について(7～9月分),"152,350 "
政策企画局,総務部,秘書課,令和07年10月14日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,政官要覧（令和７年秋号）外２点の購入,"99,883 "
政策企画局,総務部,秘書課,令和07年10月17日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入(概算契約)に係る支出について(7～9月分),"308,601 "
政策企画局,総務部,秘書課,令和07年10月17日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,生花花籠の購入にかかる支出について（９月分）,"39,600 "
政策企画局,総務部,秘書課,令和07年10月23日,一般会計,総務費,政策企画費,管理費,役務費,通信料金の払込みについて(9月分),"180,061 "
政策企画局,総務部,秘書課,令和07年10月31日,一般会計,総務費,政策企画費,管理費,役務費,モバイルWi-Fiルーター料金の払込について(11月分),"9,754 "
政策企画局,総務部,管理課,令和07年10月10日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,政策情報作成支援システム用サーバの借入れ（９月分）,"733,700 "
政策企画局,総務部,管理課,令和07年10月10日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,政策情報作成支援システム用端末の借入れ（９月分）,"21,120 "
政策企画局,総務部,管理課,令和07年10月10日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,庁議室放送設備等の借入れに要する経費の支出(９月分),"554,070 "
政策企画局,総務部,管理課,令和07年10月10日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,庁議室AV機器の借入れに要する経費の支出(９月分),"173,580 "
政策企画局,総務部,管理課,令和07年10月17日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,令和７年第三回都議会定例会知事所信表明の印刷,"194,370 "
政策企画局,総務部,管理課,令和07年10月17日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に要する経費の支出(９月分),"117,707 "
政策企画局,総務部,管理課,令和07年10月21日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入に要する経費の支払い(第２四半期分),"12,441 "
政策企画局,総務部,管理課,令和07年10月22日,一般会計,総務費,政策企画費,管理費,委託料,政策情報システム運用支援委託（第２四半期分）,"385,000 "
政策企画局,総務部,管理課,令和07年10月31日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,敷布団外５点の借入れに要する経費(９～１０月分),"14,575 "
政策企画局,総務部,管理課,令和07年10月31日,一般会計,総務費,政策企画費,管理費,役務費,敷布団外５点の借入れに要する経費(９～１０月分),"2,200 "
政策企画局,戦略広報部,企画調整課,令和07年10月01日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度チケットによるタクシー利用料金の支払,"269,551 "
政策企画局,戦略広報部,企画調整課,令和07年10月03日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都民の声総合窓口運営委託に係る経費の支出,"291,500 "
政策企画局,戦略広報部,企画調整課,令和07年10月03日,一般会計,総務費,政策企画費,広報広聴費,委託料,R７年度都民の声業務支援DBの運用保守委託に係る支出,"155,557 "
政策企画局,戦略広報部,企画調整課,令和07年10月03日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R７年度シュレッダーの借入れに係る経費の支出,"19,800 "
政策企画局,戦略広報部,企画調整課,令和07年10月03日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R7都民の声業務支援DBサーバ機器等の借入れに係る支出,"335,412 "
政策企画局,戦略広報部,企画調整課,令和07年10月03日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度ファクシミリの賃借に係る経費の支出,"5,720 "
政策企画局,戦略広報部,企画調整課,令和07年10月07日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,日刊紙の購読に係る経費の支出,"130,020 "
政策企画局,戦略広報部,企画調整課,令和07年10月07日,一般会計,総務費,政策企画費,広報広聴費,役務費,Wi-Fiルーター通信回線に係る経費の支出,"23,400 "
政策企画局,戦略広報部,企画調整課,令和07年10月09日,一般会計,総務費,政策企画費,広報広聴費,役務費,東京ポイント案内文発送,"109,100 "
政策企画局,戦略広報部,企画調整課,令和07年10月09日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度裁断機の借入れに係る経費の支出,"16,170 "
政策企画局,戦略広報部,企画調整課,令和07年10月10日,一般会計,総務費,政策企画費,広報広聴費,役務費,地上デジタル放送番組情報配信委託の支払いについて,"66,000 "
政策企画局,戦略広報部,企画調整課,令和07年10月15日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7複数少額資金前渡(役務費)(10月分支出),"17,558 "
政策企画局,戦略広報部,企画調整課,令和07年10月15日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7複数少額資金前渡（一般需用費）10月支出,"40,106 "
政策企画局,戦略広報部,企画調整課,令和07年10月21日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度労働者派遣（秘書事務）（単価契約）の支払,"304,480 "
政策企画局,戦略広報部,企画調整課,令和07年10月21日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(９月分),"216,667 "
政策企画局,戦略広報部,企画調整課,令和07年10月21日,一般会計,生活文化費,都民安全総合対策費,管理費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(９月分),"3,261 "
政策企画局,戦略広報部,企画調整課,令和07年10月21日,一般会計,生活文化費,生活文化費,都民生活費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(９月分),"9,867 "
政策企画局,戦略広報部,企画調整課,令和07年10月23日,一般会計,総務費,政策企画費,広報広聴費,委託料,職員募集情報の就職情報サイトへの掲載原稿作成委託２,"495,000 "
政策企画局,戦略広報部,企画調整課,令和07年10月23日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIソフトウェアサービス利用に伴う経費支出,"18,000 "
政策企画局,戦略広報部,戦略広報課,令和07年10月01日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R7「東京動画用」機材の賃借（長期継続）に係る支出,"26,620 "
政策企画局,戦略広報部,戦略広報課,令和07年10月01日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,ＣＨＴＶ映像スタジオ設備の借入れ（再リース）（R7）,"322,278 "
政策企画局,戦略広報部,戦略広報課,令和07年10月01日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,ＣＨＴＶスタジオ機器等の借入れ（長期継続契約）,"767,800 "
政策企画局,戦略広報部,戦略広報課,令和07年10月01日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,都庁総合HP運営に係る機器等の借入れ(長期継続契約),"138,050 "
政策企画局,戦略広報部,戦略広報課,令和07年10月01日,一般会計,総務費,政策企画費,広報広聴費,役務費,Ｒ７ＣＨＴＶ業務用プロバイダ契約に伴う支出,"1,100 "
政策企画局,戦略広報部,戦略広報課,令和07年10月01日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度都庁総合HP運営用プロバイダ契約,770 
政策企画局,戦略広報部,戦略広報課,令和07年10月02日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,都政記録写真管理システム用パソコンの賃借,"8,690 "
政策企画局,戦略広報部,戦略広報課,令和07年10月02日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都政記録写真WEB検索システム業務委託,"226,600 "
政策企画局,戦略広報部,戦略広報課,令和07年10月03日,一般会計,総務費,政策企画費,広報広聴費,旅費　普通旅費,職員の海外出張旅費の支出について(マレーシア)(追給),"1,829 "
政策企画局,戦略広報部,戦略広報課,令和07年10月08日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,職員の海外出張旅費の支出について(アラブ首長国連邦),"58,712 "
政策企画局,戦略広報部,戦略広報課,令和07年10月08日,一般会計,総務費,政策企画費,広報広聴費,旅費　普通旅費,職員の海外出張旅費の支出について(アラブ首長国連邦),"811,536 "
政策企画局,戦略広報部,戦略広報課,令和07年10月08日,一般会計,総務費,政策企画費,広報広聴費,役務費,職員の海外出張旅費の支出について(アラブ首長国連邦),"39,920 "
政策企画局,戦略広報部,戦略広報課,令和07年10月09日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7都提供番組「都民ニュース」の制作・放送委託8月,"5,403,090 "
政策企画局,戦略広報部,戦略広報課,令和07年10月09日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7上都提供番組「東京ｲﾝﾌｫﾒｰｼｮﾝ」の制作・放送委託7月,"7,614,476 "
政策企画局,戦略広報部,戦略広報課,令和07年10月09日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7上都提供番組「東京ｲﾝﾌｫﾒｰｼｮﾝ」の制作・放送委託7月,"326,700 "
政策企画局,戦略広報部,戦略広報課,令和07年10月09日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7上都提供番組「東京ｲﾝﾌｫﾒｰｼｮﾝ」の制作・放送委託8月,"6,768,423 "
