公金支出情報（令和　７年１１月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和07年11月06日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,一般日刊紙の購読に係る支出（令和７年度分）,"27,980 "
政策企画局,総務部,企画計理課,令和07年11月11日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出(一需)(11月分),"25,588 "
政策企画局,総務部,企画計理課,令和07年11月11日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支払(10月分),"288,662 "
政策企画局,総務部,企画計理課,令和07年11月20日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"369,600 "
政策企画局,総務部,企画計理課,令和07年11月20日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"528,000 "
政策企画局,総務部,企画計理課,令和07年11月20日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"264,000 "
政策企画局,総務部,企画計理課,令和07年11月20日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"79,200 "
政策企画局,総務部,企画計理課,令和07年11月20日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（11月分）,"79,200 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"240,000 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"336,000 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"522,000 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"438,000 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"228,000 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"369,600 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"528,000 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"264,000 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"79,200 "
政策企画局,総務部,企画計理課,令和07年11月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（12月分）,"79,200 "
政策企画局,総務部,総務課,令和07年11月06日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,解放新聞中央版外５点の購読,"10,792 "
政策企画局,総務部,総務課,令和07年11月13日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和６年度公営企業会計決算特別委員会の支出について,"124,800 "
政策企画局,総務部,総務課,令和07年11月13日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和６年度各会計決算特別委員会に伴う支出について,"229,600 "
政策企画局,総務部,総務課,令和07年11月14日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出（一般需用費11月分）,"15,175 "
政策企画局,総務部,総務課,令和07年11月14日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費11月分）,700 
政策企画局,総務部,総務課,令和07年11月17日,一般会計,総務費,政策企画費,管理費,旅費　普通旅費,定日払旅費の支出（非システム・R7年10月分）,"2,088 "
政策企画局,総務部,総務課,令和07年11月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ファイル転送器等の借入れに係る支出（10月分）,"76,230 "
政策企画局,総務部,総務課,令和07年11月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れに係る支出（10月分）,"265,760 "
政策企画局,総務部,総務課,令和07年11月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れ(その2)に係る支出(10月分,"92,730 "
政策企画局,総務部,総務課,令和07年11月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れ（10月分）,"35,464 "
政策企画局,総務部,総務課,令和07年11月19日,一般会計,総務費,政策企画費,管理費,役務費,Ｗｉ－ｆｉの借入れ（10月分）,"33,000 "
政策企画局,総務部,総務課,令和07年11月19日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞（一般日刊紙）の購入（10月分）,"38,980 "
政策企画局,総務部,総務課,令和07年11月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,AED及び収納ボックスの借入れに係る支払（10月分）,"18,150 "
政策企画局,総務部,総務課,令和07年11月20日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣(秘書事務)(単価契約)の支払い,"328,757 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話料金の支払について（災害時優先電話10月分）,"1,082 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入（10月分）,"8,901 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（10月分）,"275,195 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（10月分）,"74,697 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（10月分）,"15,695 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,委託料,文書の溶解処理委託に係る支出（９月分）,"4,532 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,役務費,文書の溶解処理委託に係る支出（９月分）,"22,000 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,委託料,文書の溶解処理委託に係る支出（10月分）,"4,092 "
政策企画局,総務部,総務課,令和07年11月21日,一般会計,総務費,政策企画費,管理費,役務費,文書の溶解処理委託に係る支出（10月分）,"22,000 "
政策企画局,総務部,秘書課,令和07年11月05日,一般会計,総務費,政策企画費,管理費,役務費,電話料金（非常通報装置）の払込みについて(10月分),"5,508 "
