公金支出情報（令和　７年１２月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和07年12月01日,一般会計,総務費,政策企画費,管理費,役務費,１２月分  公共料金支払,"11,463 "
政策企画局,総務部,企画計理課,令和07年12月04日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,一般日刊紙の購読に係る支出（令和７年度分）,"27,980 "
政策企画局,総務部,企画計理課,令和07年12月09日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出(一需)(12月分),"1,100 "
政策企画局,総務部,企画計理課,令和07年12月09日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出(役務)(12月分),990 
政策企画局,総務部,企画計理課,令和07年12月10日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支払(11月分),"359,944 "
政策企画局,総務部,企画計理課,令和07年12月16日,一般会計,総務費,総務管理費,職員研修費,旅費　普通旅費,職員海外出張に要する費用の支出・清算 シンガポール,"2,051,560 "
政策企画局,総務部,企画計理課,令和07年12月16日,一般会計,総務費,総務管理費,職員研修費,役務費,職員海外出張に要する費用の支出・清算 シンガポール,"900,000 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"240,000 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"330,000 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"504,000 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"438,000 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"234,000 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"369,600 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"528,000 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"264,000 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"79,200 "
政策企画局,総務部,企画計理課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（1月分）,"79,200 "
政策企画局,総務部,総務課,令和07年12月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和７年第四回都議会定例会に伴う経費の支出について,"594,320 "
政策企画局,総務部,総務課,令和07年12月12日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出（一般需用費12月分）,"8,800 "
政策企画局,総務部,総務課,令和07年12月12日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費12月分）,"18,500 "
政策企画局,総務部,総務課,令和07年12月12日,一般会計,総務費,政策企画費,管理費,旅費　普通旅費,定日払旅費の支出（非システム・R7年11月分）,"2,436 "
政策企画局,総務部,総務課,令和07年12月18日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ファイル転送機器等の借入れに係る支出（11月分）,"76,230 "
政策企画局,総務部,総務課,令和07年12月18日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れに係る支出（11月分）,"265,760 "
政策企画局,総務部,総務課,令和07年12月18日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れ(その2)に係る支出(11月分,"92,730 "
政策企画局,総務部,総務課,令和07年12月18日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れ（11月分）,"35,464 "
政策企画局,総務部,総務課,令和07年12月18日,一般会計,総務費,政策企画費,管理費,役務費,Ｗｉ－ｆｉの借入れ（11月分）,"33,000 "
政策企画局,総務部,総務課,令和07年12月18日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞（一般日刊紙）の購入（11月分）,"38,980 "
政策企画局,総務部,総務課,令和07年12月19日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入（11月分）,"8,901 "
政策企画局,総務部,総務課,令和07年12月22日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話料金の支払について（災害時優先電話11月分）,"1,082 "
政策企画局,総務部,総務課,令和07年12月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（11月分）,"120,423 "
政策企画局,総務部,総務課,令和07年12月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（11月分）,"42,537 "
政策企画局,総務部,総務課,令和07年12月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（11月分）,"79,295 "
政策企画局,総務部,総務課,令和07年12月24日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,AED及び収納ボックスの借入れに係る支払（11月分）,"18,150 "
政策企画局,総務部,総務課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣(秘書事務)(単価契約)の支払い,"278,421 "
政策企画局,総務部,秘書課,令和07年12月02日,一般会計,総務費,政策企画費,管理費,役務費,電話料金(非常通報装置)の払込みについて(11月分),"5,732 "
政策企画局,総務部,秘書課,令和07年12月04日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞の購入に係る支出について(11月分),"157,400 "
政策企画局,総務部,秘書課,令和07年12月04日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ペーパーレス会議システム及びタブレット端末の借入れ,"341,682 "
政策企画局,総務部,秘書課,令和07年12月04日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借り入れに係る支出について(11月分),"24,200 "
政策企画局,総務部,秘書課,令和07年12月04日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,大型ディスプレイの借入れに係る支出について(11月分),"38,500 "
政策企画局,総務部,秘書課,令和07年12月04日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,生け花及び造花の購入に係る支出について(11月分),"30,800 "
政策企画局,総務部,秘書課,令和07年12月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和７年秋の勲章受章者の拝謁に伴う借り上げ料の支出,"33,687 "
政策企画局,総務部,秘書課,令和07年12月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和７年秋の勲章受章者の拝謁に伴う借り上げ料の支出,"33,137 "
政策企画局,総務部,秘書課,令和07年12月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出(一般需用費・12月分),"133,574 "
政策企画局,総務部,秘書課,令和07年12月08日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出(役務費・12月分),"14,910 "
政策企画局,総務部,秘書課,令和07年12月09日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,写真の購入その２（単価契約）の支出について,"133,650 "
政策企画局,総務部,秘書課,令和07年12月12日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支出について(11月分),"257,074 "
政策企画局,総務部,秘書課,令和07年12月12日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,生花花籠の購入にかかる支出について（１１月分）,"39,600 "
政策企画局,総務部,秘書課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,役務費,モバイルWi-Fiルーター料金の払込について(1月分),"9,754 "
政策企画局,総務部,秘書課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,役務費,通信料金の払込みについて(11月分),"184,507 "
政策企画局,総務部,秘書課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,備品購入費,携帯電話機の購入,"468,160 "
政策企画局,総務部,秘書課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,携帯電話機の購入,"374,000 "
政策企画局,総務部,秘書課,令和07年12月26日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話機の購入,"103,950 "
政策企画局,総務部,管理課,令和07年12月03日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,敷布団外５点の借入れに要する経費（１１月分）,"14,575 "
政策企画局,総務部,管理課,令和07年12月03日,一般会計,総務費,政策企画費,管理費,役務費,敷布団外５点の借入れに要する経費（１１月分）,"2,200 "
政策企画局,総務部,管理課,令和07年12月17日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に要する経費の支出(11月分),"149,098 "
