公金支出情報（令和　８年　１月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,企画計理課,令和08年01月05日,一般会計,総務費,政策企画費,管理費,役務費,１月分  公共料金支払,"9,274 "
政策企画局,総務部,企画計理課,令和08年01月07日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,一般日刊紙の購読に係る支出（令和７年度分）,"27,980 "
政策企画局,総務部,企画計理課,令和08年01月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支払(12月分),"242,465 "
政策企画局,総務部,企画計理課,令和08年01月09日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出(一需)(１月分),"7,202 "
政策企画局,総務部,企画計理課,令和08年01月09日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出(役務)(１月分),220 
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"369,600 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"528,000 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"264,000 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"79,200 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"79,200 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"240,000 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"336,000 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"498,000 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"438,000 "
政策企画局,総務部,企画計理課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,生成AIサービスに係る支出について（2月分）,"234,000 "
政策企画局,総務部,総務課,令和08年01月14日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,令和８年版東京都区市町村組織人事一覧の購入,"56,000 "
政策企画局,総務部,総務課,令和08年01月16日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出（一般需用費１月分）,"48,719 "
政策企画局,総務部,総務課,令和08年01月16日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費１月分）,"23,800 "
政策企画局,総務部,総務課,令和08年01月20日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣(秘書事務)(単価契約)の支払い,"315,447 "
政策企画局,総務部,総務課,令和08年01月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ファイル転送機器等の借入れに係る支出（12月分）,"76,230 "
政策企画局,総務部,総務課,令和08年01月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れに係る支出（12月分）,"265,760 "
政策企画局,総務部,総務課,令和08年01月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,局ファイルサーバ等の借入れ(その2)に係る支出(12月分,"92,730 "
政策企画局,総務部,総務課,令和08年01月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れ（12月分）,"35,464 "
政策企画局,総務部,総務課,令和08年01月23日,一般会計,総務費,政策企画費,管理費,役務費,Ｗｉ－ｆｉの借入れ（12月分）,"33,000 "
政策企画局,総務部,総務課,令和08年01月23日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞（一般日刊紙）の購入（12月分）,"38,980 "
政策企画局,総務部,総務課,令和08年01月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,AED及び収納ボックスの借入れに係る支払（12月分）,"18,150 "
政策企画局,総務部,総務課,令和08年01月27日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入（12月分）,"9,756 "
政策企画局,総務部,総務課,令和08年01月28日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話料金の支払について（災害時優先電話12月分）,"1,082 "
政策企画局,総務部,総務課,令和08年01月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（12月分）,"35,164 "
政策企画局,総務部,総務課,令和08年01月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（12月分）,"45,111 "
政策企画局,総務部,総務課,令和08年01月28日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾁｹｯﾄによるﾀｸｼｰ供給契約に係る継続支払（12月分）,"48,918 "
政策企画局,総務部,秘書課,令和08年01月07日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ペーパーレス会議システム及びタブレット端末の借入れ,"341,682 "
政策企画局,総務部,秘書課,令和08年01月07日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,切り花の購入に係る支出について(10～12月分),"118,140 "
政策企画局,総務部,秘書課,令和08年01月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借り入れに係る支出について(12月分),"24,200 "
政策企画局,総務部,秘書課,令和08年01月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,大型ディスプレイの借入れに係る支出について(12月分),"38,500 "
政策企画局,総務部,秘書課,令和08年01月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費, 生け花及び造花の購入に係る支出について(12月分),"30,800 "
政策企画局,総務部,秘書課,令和08年01月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,卓上装花の購入に係る支出について(10～12月分),"137,115 "
