公金支出情報（令和　７年度　給与関係費等）,,,,,,
,,,,,,
,,,,,,（単位：円）
支払年月,報酬 ,給料 ,職員手当等,共済費 ,災害補償費 ,恩給及退職年金
令和07年04月,"3,971,717,288 ","53,796,713,244 ","25,075,058,503 ","17,243,209,214 ","14,392,989 ","101,227,841 "
令和07年05月,"5,740,314,820 ","54,038,069,519 ","22,771,419,080 ","15,625,087,172 ","1,827,519 ","720,256 "
令和07年06月,"6,480,893,761 ","54,045,995,832 ","200,538,307,143 ","29,317,450,055 ","18,338,458 ","665,457 "
令和07年07月,"6,261,962,149 ","53,937,856,749 ","21,596,700,019 ","35,753,350,255 ","6,751,786 ","97,282,081 "
令和07年08月,"6,001,328,219 ","53,894,734,417 ","25,011,740,884 ","18,699,642,691 ","9,823,738 ","137,058 "
令和07年09月,"5,745,437,337 ","53,819,814,189 ","21,880,807,684 ","26,246,246,979 ","13,850,102 ","724,349 "
令和07年10月,"7,192,158,673 ","54,018,060,947 ","38,149,243,296 ","16,181,854,545 ","17,571,849 ","93,619,516 "
令和07年11月,"6,265,422,177 ","53,853,732,492 ","23,456,122,231 ","15,982,217,360 ","13,315,222 ","380,765 "
令和07年12月,"8,135,418,886 ","70,838,298,247 ","225,615,471,183 ","47,215,094,258 ","21,252,874 ","88,404,006 "
令和08年01月,"6,299,323,479 ","55,842,384,303 ","23,637,578,861 ","19,101,114,518 ","8,623,209 ","754,800 "
令和08年02月,,,,,,
令和08年03月,,,,,,
,,,,,,
