年度,歳入区分,区分２,区分３,区分順序１,区分順序２,区分順序３,決算額（千円）,決算額（億円）,決算額（兆円）
2005,地方税,地方税,地方税,1,1,1,"4,602,717,816","46,027",4.602717816
2005,地方譲与税,地方道路譲与税,地方道路譲与税,2,1,1,"2,412,707",24,0.002412707
2005,地方譲与税,特別とん譲与税,特別とん譲与税,2,2,1,"389,706",4,0.000389706
2005,地方譲与税,石油ガス譲与税,石油ガス譲与税,2,3,1,"475,222",5,0.000475222
2005,地方譲与税,航空機燃料譲与税,航空機燃料譲与税,2,4,1,"150,403",2,0.000150403
2005,地方譲与税,所得譲与税,所得譲与税,2,5,1,"63,638,882",636,0.063638882
2005,市町村たばこ税都道府県交付金,市町村たばこ税都道府県交付金,市町村たばこ税都道府県交付金,3,1,1,0,0,0
2005,地方特例交付金,減税補てん特例交付金,減税補てん特例交付金,4,1,1,"157,802,592","1,578",0.157802592
2005,地方特例交付金,税源委譲予定特例交付,税源委譲予定特例交付,4,2,1,"38,773,872",388,0.038773872
2005,地方交付税,普通交付税,普通交付税,5,1,1,0,0,0
2005,地方交付税,特別交付税,特別交付税,5,2,1,0,0,0
2005,交通安全対策特別交付金,交通安全対策特別交付金,交通安全対策特別交付金,6,1,1,"4,584,310",46,0.00458431
2005,分担金及び負担金,同級他団体からのもの,同級他団体からのもの,7,1,1,"316,947",3,0.000316947
2005,分担金及び負担金,市町村からのもの,市町村からのもの,7,2,1,"58,307,548",583,0.058307548
2005,分担金及び負担金,その他,その他,7,3,1,"6,381,698",64,0.006381698
2005,使用料,授業料,高等学校,8,1,1,"12,749,313",127,0.012749313
2005,使用料,授業料,その他,8,1,2,"643,912",6,0.000643912
2005,使用料,発電水利使用料,発電水利使用料,8,2,1,"76,820",1,0.00007682
2005,使用料,公営住宅使用料,公営住宅使用料,8,3,1,"74,365,092",744,0.074365092
2005,使用料,その他,その他,8,4,1,"47,387,524",474,0.047387524
2005,手数料,法定受託事務に係るもの,法定受託事務に係るもの,9,1,1,"1,739,921",17,0.001739921
2005,手数料,自治事務に係るもの,自治事務に係るもの,9,2,1,"25,333,068",253,0.025333068
2005,国庫支出金,義務教育費負担金,義務教育費負担金,10,1,1,"144,369,666","1,444",0.144369666
2005,国庫支出金,生活保護費負担金,生活保護費負担金,10,2,1,"1,350,751",14,0.001350751
2005,国庫支出金,児童保護費負担金,児童保護費負担金,10,3,1,"11,599,596",116,0.011599596
