年度,区分１,区分２,区分３,区分４,区分順序１,区分順序２,区分順序３,区分順序４,決算額（千円）,決算額（億円）
2005,普通税,法定普通税,住民税,個人均等割,1,1,1,1,"5,550,321",56
2005,普通税,法定普通税,住民税,所得割,1,1,1,2,"362,586,384","3,626"
2005,普通税,法定普通税,住民税,法人均等割,1,1,1,3,"76,509,728",765
2005,普通税,法定普通税,住民税,法人税割,1,1,1,4,"785,673,177","7,857"
2005,普通税,法定普通税,住民税,利子割,1,1,1,5,"41,346,428",413
2005,普通税,法定普通税,住民税,配当割,1,1,1,6,"14,107,958",141
2005,普通税,法定普通税,住民税,株式等譲渡所得割,1,1,1,7,"20,095,394",201
2005,普通税,法定普通税,事業税,個人分,1,1,2,1,"54,583,960",546
2005,普通税,法定普通税,事業税,法人分,1,1,2,2,"1,231,662,441","12,317"
2005,普通税,法定普通税,地方消費税,譲渡割,1,1,3,1,"720,618,166","7,206"
2005,普通税,法定普通税,地方消費税,貨物割,1,1,3,2,"50,729,253",507
2005,普通税,法定普通税,不動産取得税,不動産取得税,1,1,4,1,"94,861,417",949
2005,普通税,法定普通税,道府県たばこ税,道府県たばこ税,1,1,5,1,"32,818,596",328
2005,普通税,法定普通税,ゴルフ場利用税,ゴルフ場利用税,1,1,6,1,"830,317",8
2005,普通税,法定普通税,自動車取得税,自動車取得税,1,1,7,1,0,0
2005,普通税,法定普通税,軽油引取税,軽油引取税,1,1,8,1,0,0
2005,普通税,法定普通税,自動車税,自動車税,1,1,9,1,"122,517,940","1,225"
2005,普通税,法定普通税,自動車税,種別割,1,1,9,1,0,0
2005,普通税,法定普通税,自動車税,環境性能割,1,1,9,2,0,0
2005,普通税,法定普通税,固定資産税,純固定資産税,1,1,10,1,"1,009,251,592","10,093"
2005,普通税,法定普通税,固定資産税,交付金,1,1,10,2,"11,471,824",115
2005,普通税,法定普通税,特別土地保有税,特別土地保有税,1,1,11,1,"487,207",5
2005,普通税,法定普通税,その他の普通税,その他の普通税,1,1,12,1,"583,056",6
2005,普通税,法定外普通税,法定外普通税,法定外普通税,1,2,1,1,0,0
2005,目的税,法定目的税,自動車取得税,自動車取得税,2,1,1,1,"44,765,396",448
2005,目的税,法定目的税,軽油引取税,軽油引取税,2,1,2,1,"51,393,964",514
2005,目的税,法定目的税,事業所税,事業所税,2,1,3,1,"87,890,953",879
2005,目的税,法定目的税,都市計画税,都市計画税,2,1,4,1,"192,624,319","1,926"
2005,目的税,法定目的税,その他の目的税,その他の目的税,2,1,5,1,"7,991",0
2005,目的税,法定外目的税,法定外目的税,法定外目的税,2,2,1,1,"1,193,133",12
2005,旧法による税,特別地方消費税,特別地方消費税,特別地方消費税,3,1,1,1,"5,399",0
2005,旧法による税,自動車取得税,自動車取得税,自動車取得税（目的税分）,3,2,1,1,0,0
2005,旧法による税,自動車取得税,自動車取得税,自動車取得税（普通税分）,3,2,1,2,0,0
2005,旧法による税,軽油引取税,軽油引取税,軽油引取税,3,3,1,1,0,0
2005,旧法による税,その他,その他,その他,3,4,1,1,0,0
2006,普通税,法定普通税,住民税,個人均等割,1,1,1,1,"6,169,491",62
