年度,区分１,区分２,区分３,区分順序１,区分順序２,区分順序３,決算額（千円）,決算額（億円）,決算額（兆円）
2005,人件費,議員報酬手当,議員報酬手当,1,1,1,"2,205,992",22,0.002205992
2005,人件費,委員等報酬,委員等報酬,1,2,1,"35,284,917",353,0.035284917
2005,人件費,知事等特別職の給与,知事等特別職の給与,1,3,1,"253,803",3,0.000253803
2005,人件費,職員給,職員給,1,4,1,"1,187,573,271","11,876",1.187573271
2005,人件費,地方公務員共済組合負担金,地方公務員共済組合負担金,1,5,1,"204,749,832","2,047",0.204749832
2005,人件費,退職金,退職金,1,6,1,"137,626,237","1,376",0.137626237
2005,人件費,恩給及び退職年金,恩給及び退職年金,1,7,1,"6,805,159",68,0.006805159
2005,人件費,地方公務員災害補償金負担金,地方公務員災害補償金負担金,1,8,1,"2,607,629",26,0.002607629
2005,人件費,職員互助会補助金,職員互助会補助金,1,9,1,"3,314,448",33,0.003314448
2005,人件費,その他,その他,1,10,1,"8,932,731",89,0.008932731
2005,物件費,賃金,賃金,2,1,1,"1,136,518",11,0.001136518
2005,物件費,旅費,旅費,2,2,1,"5,192,211",52,0.005192211
2005,物件費,交際費,交際費,2,3,1,"36,990",0,0.00003699
2005,物件費,需用費,需用費,2,4,1,"51,018,513",510,0.051018513
2005,物件費,役務費,役務費,2,5,1,"21,954,042",220,0.021954042
2005,物件費,備品購入費,備品購入費,2,6,1,"3,964,933",40,0.003964933
2005,物件費,委託料,委託料,2,7,1,"93,147,721",931,0.093147721
2005,物件費,その他,その他,2,8,1,"45,000,438",450,0.045000438
2005,維持補修費,土木施設,土木施設,3,1,1,"30,743,381",307,0.030743381
2005,維持補修費,建物,建物,3,2,1,"29,798,644",298,0.029798644
2005,維持補修費,その他,その他,3,3,1,"1,683,507",17,0.001683507
2005,扶助費,社会福祉費,社会福祉費,4,1,1,"31,966,616",320,0.031966616
2005,扶助費,老人福祉費,老人福祉費,4,2,1,"12,552,859",126,0.012552859
2005,扶助費,児童福祉費,児童福祉費,4,3,1,"35,417,309",354,0.035417309
2005,扶助費,生活保護費,生活保護費,4,4,1,"1,811,564",18,0.001811564
2005,扶助費,災害救助費,災害救助費,4,5,1,0,0,0
2005,扶助費,公衆衛生費,公衆衛生費,4,6,1,"15,063,566",151,0.015063566
2005,扶助費,その他,その他,4,7,1,"17,729,765",177,0.017729765
2005,補助費等,対　国,対　国,5,1,1,"8,878,826",89,0.008878826
2005,補助費等,対　同級他団体,対　同級他団体,5,2,1,"2,055,741",21,0.002055741
2005,補助費等,対　市町村,対　市町村,5,3,1,"1,334,236,622","13,342",1.334236622
2005,補助費等,対　その他,対　その他,5,4,1,"944,637,160","9,446",0.94463716
2005,普通建設事業費,補助事業費,その団体で行うもの,6,1,1,"174,819,842","1,748",0.174819842
2005,普通建設事業費,補助事業費,補助金,6,1,2,"13,500,017",135,0.013500017
2005,普通建設事業費,単独事業費,その団体で行うもの,6,2,1,"360,747,039","3,607",0.360747039
2005,普通建設事業費,単独事業費,補助金,6,2,2,"53,639,967",536,0.053639967
2005,普通建設事業費,国直轄事業負担金,国直轄事業負担金,6,3,1,"56,379,888",564,0.056379888
2005,普通建設事業費,同級他団体負担金,同級他団体負担金,6,4,1,0,0,0
2005,普通建設事業費,受託事業費,補助事業費,6,5,1,0,0,0
2005,普通建設事業費,受託事業費,単独事業費,6,5,2,"3,847,521",38,0.003847521
2005,災害復旧事業費,災害復旧事業費,災害復旧事業費,7,1,1,"12,206,444",122,0.012206444
2005,失業対策事業費,失業対策事業費,失業対策事業費,8,1,1,0,0,0
2005,公債費,通常債分,元金,9,1,1,"561,673,588","5,617",0.561673588
2005,公債費,通常債分,利子,9,1,2,"155,751,518","1,558",0.155751518
2005,公債費,転貸債分,元金,9,2,1,0,0,0
2005,公債費,転貸債分,利子,9,2,2,0,0,0
2005,公債費,一時借入金利子,一時借入金利子,9,3,1,308,0,0.000000308
2005,積立金,積立金,積立金,10,1,1,"241,203,349","2,412",0.241203349
2005,投資及び出資金,投資及び出資金,投資及び出資金,11,11,1,"77,181,693",772,0.077181693
2005,貸付金,貸付金,貸付金,12,1,1,"221,160,604","2,212",0.221160604
2005,繰出金,操出金,操出金,13,1,1,"10,722,974",107,0.010722974
2005,前年度繰上充用金,前年度繰上充用金,前年度繰上充用金,14,1,1,0,0,0
2006,人件費,議員報酬手当,議員報酬手当,1,1,1,"2,240,688",22,0.002240688
2006,人件費,委員等報酬,委員等報酬,1,2,1,"35,564,600",356,0.0355646
2006,人件費,知事等特別職の給与,知事等特別職の給与,1,3,1,"198,019",2,0.000198019
2006,人件費,職員給,職員給,1,4,1,"1,173,260,169","11,733",1.173260169
2006,人件費,地方公務員共済組合負担金,地方公務員共済組合負担金,1,5,1,"202,198,361","2,022",0.202198361
2006,人件費,退職金,退職金,1,6,1,"159,760,270","1,598",0.15976027
2006,人件費,恩給及び退職年金,恩給及び退職年金,1,7,1,"6,093,793",61,0.006093793
2006,人件費,地方公務員災害補償金負担金,地方公務員災害補償金負担金,1,8,1,"2,595,253",26,0.002595253
2006,人件費,職員互助会補助金,職員互助会補助金,1,9,1,"2,178,604",22,0.002178604
2006,人件費,その他,その他,1,10,1,"8,694,213",87,0.008694213
2006,物件費,賃金,賃金,2,1,1,"1,049,419",10,0.001049419
2006,物件費,旅費,旅費,2,2,1,"5,164,995",52,0.005164995
2006,物件費,交際費,交際費,2,3,1,"35,759",0,0.000035759
2006,物件費,需用費,需用費,2,4,1,"51,860,417",519,0.051860417
2006,物件費,役務費,役務費,2,5,1,"19,338,351",193,0.019338351
2006,物件費,備品購入費,備品購入費,2,6,1,"3,453,083",35,0.003453083
2006,物件費,委託料,委託料,2,7,1,"96,613,870",966,0.09661387
2006,物件費,その他,その他,2,8,1,"40,709,903",407,0.040709903
2006,維持補修費,土木施設,土木施設,3,1,1,"32,250,782",323,0.032250782
2006,維持補修費,建物,建物,3,2,1,"31,607,017",316,0.031607017
2006,維持補修費,その他,その他,3,3,1,"1,634,111",16,0.001634111
2006,扶助費,社会福祉費,社会福祉費,4,1,1,"29,429,145",294,0.029429145
2006,扶助費,老人福祉費,老人福祉費,4,2,1,"6,067,775",61,0.006067775
2006,扶助費,児童福祉費,児童福祉費,4,3,1,"34,598,145",346,0.034598145
2006,扶助費,生活保護費,生活保護費,4,4,1,"1,805,186",18,0.001805186
2006,扶助費,災害救助費,災害救助費,4,5,1,0,0,0
2006,扶助費,公衆衛生費,公衆衛生費,4,6,1,"15,537,364",155,0.015537364
2006,扶助費,その他,その他,4,7,1,"17,943,479",179,0.017943479
2006,補助費等,対　国,対　国,5,1,1,"4,466,426",45,0.004466426
2006,補助費等,対　同級他団体,対　同級他団体,5,2,1,"2,173,584",22,0.002173584
2006,補助費等,対　市町村,対　市町村,5,3,1,"1,426,829,995","14,268",1.426829995
2006,補助費等,対　その他,対　その他,5,4,1,"976,524,020","9,765",0.97652402
2006,普通建設事業費,補助事業費,その団体で行うもの,6,1,1,"149,917,638","1,499",0.149917638
2006,普通建設事業費,補助事業費,補助金,6,1,2,"11,389,582",114,0.011389582
