年度,区分１,区分２,区分３,区分順序１,区分順序２,区分順序３,決算額（千円）,決算額（億円）
2005,議会費,議会費,議会費,1,1,1,"5,369,400",54
2005,総務費,総務管理費,総務管理費,2,1,1,"532,167,592","5,322"
2005,総務費,企画費,企画費,2,2,1,"1,998,261",20
2005,総務費,徴税費,徴税費,2,3,1,"75,173,074",752
2005,総務費,市町村振興費,市町村振興費,2,4,1,"66,181,048",662
2005,総務費,選挙費,選挙費,2,5,1,"9,397,042",94
2005,総務費,防災費,防災費,2,6,1,"7,080,134",71
2005,総務費,統計調査費,統計調査費,2,7,1,"8,797,222",88
2005,総務費,人事委員会費,人事委員会費,2,8,1,"818,590",8
2005,総務費,監査委員費,監査委員費,2,9,1,"933,327",9
2005,民生費,社会福祉費,社会福祉費,3,1,1,"169,071,850","1,691"
2005,民生費,老人福祉費,老人福祉費,3,2,1,"202,883,189","2,029"
2005,民生費,児童福祉費,児童福祉費,3,3,1,"144,478,820","1,445"
2005,民生費,生活保護費,生活保護費,3,4,1,"24,356,948",244
2005,民生費,災害救助費,災害救助費,3,5,1,"1,055,992",11
2005,衛生費,公衆衛生費,公衆衛生費,4,1,1,"74,198,008",742
2005,衛生費,結核対策費,結核対策費,4,2,1,"422,303",4
2005,衛生費,精神衛生費,精神衛生費,4,3,1,"28,760,912",288
2005,衛生費,環境衛生費,環境衛生費,4,4,1,"24,584,146",246
2005,衛生費,清掃費,清掃費,4,5,1,"20,675,072",207
2005,衛生費,保健所費,保健所費,4,6,1,"6,187,902",62
2005,衛生費,医薬費,医薬費,4,7,1,"34,412,170",344
2005,労働費,労政費,労政費,5,1,1,"11,667,539",117
2005,労働費,職業訓練費,職業訓練費,5,2,1,"8,972,179",90
2005,労働費,失業対策費,失業対策費,5,3,1,0,0
2005,労働費,労働委員会費,労働委員会費,5,4,1,"670,027",7
2005,農林水産業費,農業費,農業費,6,1,1,"3,168,055",32
2005,農林水産業費,畜産業費,畜産業費,6,2,1,"1,067,940",11
2005,農林水産業費,農地費,農地費,6,3,1,"895,051",9
2005,農林水産業費,林業費,林業費,6,4,1,"2,710,618",27
2005,農林水産業費,水産業費,水産業費,6,5,1,"8,615,867",86
2005,商工費,商業費,商業費,7,1,1,"135,503,839","1,355"
2005,商工費,工鉱業費,工鉱業費,7,2,1,"78,908,274",789
2005,商工費,観光費,観光費,7,3,1,"5,550,505",56
2005,土木費,土木管理費,土木管理費,8,1,1,"14,690,372",147
2005,土木費,道路橋りょう費,道路橋りょう費,8,2,1,"118,170,582","1,182"
2005,土木費,河川海岸費,河川海岸費,8,3,1,"29,360,326",294
2005,土木費,港湾費,港湾費,8,4,1,"35,943,683",359
2005,土木費,都市計画費,街路費,8,5,1,"228,219,840","2,282"
2005,土木費,都市計画費,公園費,8,5,2,"37,414,161",374
2005,土木費,都市計画費,下水道費,8,5,3,"226,681,067","2,267"
2005,土木費,都市計画費,区画整理費,8,5,4,"112,897,767","1,129"
2005,土木費,住宅費,住宅費,8,6,1,"118,730,641","1,187"
2005,土木費,空港費,空港費,8,7,1,"1,424,878",14
2005,警察費,警察費,警察費,9,1,1,"596,327,435","5,963"
2005,消防費,消防費,消防費,10,1,1,"215,932,556","2,159"
2005,教育費,教育総務費,教育総務費,11,1,1,"205,244,020","2,052"
2005,教育費,小学校費,小学校費,11,2,1,"288,339,946","2,883"
2005,教育費,中学校費,中学校費,11,3,1,"155,353,848","1,554"
2005,教育費,高等学校費,高等学校費,11,4,1,"154,371,819","1,544"
2005,教育費,幼稚園費,幼稚園費,11,5,1,0,0
2005,教育費,社会教育費,社会教育費,11,6,1,"6,891,847",69
2005,教育費,体育施設,体育施設,11,7,1,"4,466,897",45
2005,教育費,保健体育費,学校給食費,11,8,2,"2,238,811",22
2005,教育費,大学費,大学費,11,9,1,"19,086,829",191
2005,教育費,特殊学校費,特殊学校費,11,10,1,"58,942,439",589
2005,災害復旧費,農林水産施設,農林水産施設,12,1,1,"4,593,483",46
2005,災害復旧費,公共土木施設,公共土木施設,12,2,1,"7,604,394",76
2005,災害復旧費,その他,その他,12,3,1,"8,567",0
2005,公債費,公債費,公債費,13,1,1,"723,130,920","7,231"
2005,諸支出金,普通財産取得費,普通財産取得費,14,1,1,0,0
2005,諸支出金,公営企業費,公営企業費,14,2,1,"58,563,495",586
