年度,都,都道府県
1995,96.3,86.8
1996,95.4,85.4
1997,96.1,89.6
1998,99.3,92.6
1999,104.1,91.3
2000,95.6,88.6
2001,92.4,93.6
2002,96.9,99.4
2003,97.9,103.1
2004,92.6,102.0
2005,85.8,99.0
2006,84.5,97.8
2007,80.2,99.7
2008,84.1,101.4
2009,96.0,111.9
2010,94.5,109.9
2011,95.2,110.0
2012,92.7,109.6
2013,86.2,107.5
2014,84.8,105.2
2015,81.5,102.7
2016,79.6,102.3
2017,82.2,103.0
2018,77.5,100.7
2019,74.4,99.8
2020,84.9,103.0
2021,77.8,95.2
2022,79.5,95.4
2023,81.3,94.1
2024,80.3,
