年度,所管局№,所管局,施策分野№,施策分野,事業名,補助金名,補助金の概要,補助対象者№,補助対象者,予算額（千円）,所管部署,問い合わせ先,各局HPリンク
2026,01,政策企画局,17,その他,プロジェクトの推進等,空飛ぶクルマ実装プロジェクト（Ⅰ期）補助金（政策企画局）,"・補助金の目的：空飛ぶクルマ社会実装の推進
・補助対象者：民間事業者（その他要件有）
・補助対象経費：空飛ぶクルマ実装プロジェクト（Ⅰ期）公募要領に基づき、採択された事業に要する経費の内、空飛ぶクルマ実装プロジェクト（Ⅰ期）補助金交付要綱の条件に合致するもの
・負担割合：都10/10",5,民間団体,"370,000 ",政策企画局計画調整部プロジェクト推進課,03-5388-2131,https://www.seisakukikaku.metro.tokyo.lg.jp/cross-efforts/sorajissou
2026,02,子供政策連携室,01,子供家庭,とうきょう すくわくプログラム推進事業,とうきょう すくわくプログラム推進事業補助金,"補助金の目的：幼稚園・保育所等での「とうきょう すくわくプログラム」の実践
補助対象者：区市町村または園
補助対象経費：備品購入費等、「とうきょう すくわくプログラム」の実施に必要な経費
負担割合：都10/10、上限1,500千円（１園あたり）",1,区市町村,"5,492,500 ",子供政策連携室企画調整部企画調整課,03-5388-3812,https://www.kodomoseisaku.metro.tokyo.lg.jp/jigyo/suisin-team/nyuyojikinokosodachi/sukuwaku-program
2026,02,子供政策連携室,01,子供家庭,ファミリー・アテンダント,ファミリー・アテンダント事業補助金,"補助金の目的：地域の民間団体等の人材を活用した子育て世帯への家庭訪問等、日常的な不安や悩みに寄り添うアウトリーチ型の支援を展開し、子育て世帯の孤独・孤立対策を強化
補助対象者：区市町村
補助対象経費：事業の実施に必要な経費 等
負担割合：都10/10",1,区市町村,"2,613,935 ",子供政策連携室企画調整部企画調整課,03-5388-3812,
2026,02,子供政策連携室,01,子供家庭,子供の遊び場等整備事業,子供の遊び場等整備事業補助金,"補助金の目的：子供の「遊び場」の創出
補助対象者：区市町村（令和７年度で新規採択は終了）
補助対象経費：プレーパークや地域資源を活用した遊び場など、子供の意見を反映した遊び場等の基盤整備事業に必要な経費
負担割合：都10/10",1,区市町村,"1,200,000 ",子供政策連携室企画調整部企画調整課,03-5000-7743,https://www.kodomoseisaku.metro.tokyo.lg.jp/jigyo/suisin-team/taiken-asobi
2026,02,子供政策連携室,01,子供家庭,日本語を母語としない子供を支援,多文化キッズサロン設置支援事業補助金,"補助金の目的：日本語を母語としない子供の地域の居場所として、「学習」「相談」「交流」等の機能を一体的に備えた多文化キッズサロンの設置・運営を支援
補助対象者：区市町村
補助対象経費：「学習」「相談」「交流」を必須機能とする多文化キッズサロンを設置するための整備費及び運営費
負担割合：整備費：都10/10、補助上限10百万円、補助期間最大3年
　　　　　　運営費：都1/2、補助上限5百万円",1,区市町村,"40,000 ",子供政策連携室企画調整部企画調整課,03-5000-7742,
2026,02,子供政策連携室,01,子供家庭,子供の未来を育む「体験活動」推進区市町村支援事業,子供の未来を育む「体験活動」推進区市町村支援事業（「遊び」特別推進枠）補助金,"補助金の目的：地域における子供の「遊び」の拡大・浸透
補助対象者：区市町村
補助対象経費：「遊び」の開催、「遊び」を支える人材の育成、安全対策等に要する経費
負担割合：
①　令和６年度までに子供の「遊び」に関する子供政策連携室のソフト事業の実施がない区市町村：都　1年目10/10（上限1,000万円)、2年目10/10（上限1,000万円）、3年目10/10（上限1,000万円）
②　①以外の区市町村：都　1年目2/3（上限666万円）、2年目1/2（上限500万円）、3年目1/2（上限500万円）",1,区市町村,"190,000 ",子供政策連携室企画調整部企画調整課,03-5000-7743,https://www.kodomoseisaku.metro.tokyo.lg.jp/jigyo/suisin-team/taiken-asobi
2026,02,子供政策連携室,01,子供家庭,子供の未来を育む「体験活動」推進区市町村支援事業,子供の未来を育む「体験活動」推進区市町村支援事業（「体験活動」推進枠）補助金,"補助金の目的：子供の体験活動を実施する区市町村の支援を通じて、子供が社会を生き抜く上で必要となる基礎的な能力を育成。また、 区市町村における学校外の体験活動の創出を促し、全ての子供が多様な体験活動にチャレンジできる環境を整備
補助対象者：区市町村
補助対象経費 ：新規・拡充を行うソフト事業
負担割合：都10/10（上限1,000万円）、補助期間最大３か年",1,区市町村,"420,000 ",子供政策連携室企画調整部企画調整課,03-5000-7743,https://www.kodomoseisaku.metro.tokyo.lg.jp/jigyo/suisin-team/taiken-asobi
2026,02,子供政策連携室,01,子供家庭,東京グローバル・パスポート,東京グローバル・パスポート支援金,"補助金の目的：より多くの大学生等が海外留学の最初の一歩を踏み出すきっかけ作りのサポート
補助対象者：都から支援の決定を受けて海外留学を行う大学生等
補助対象経費：
【短期コース】留学計画の実行に係る一連の経費
【中長期コース】留学計画の実行に係る経費のうち、渡航費等準備金、授業料及び現地活動費
負担割合：
【短期コース】留学計画の実行に係る一連の経費：都10/10（留学先国・地域ごとの補助上限額あり（地域①：900,000円、地域②：700,000円、地域③：400,000円））
【中長期コース】渡航費等準備金：都10/10（留学先国・地域ごとの補助上限額あり（アジア地域：210,000円、その他の地域：350,000円））、授業料：都10/10（留学先国・地域ごとの補助上限額あり（地域①：1,000,000円、地域②：800,000円、地域③：500,000円））、現地活動費：都10/10（留学先国・地域ごとの補助上限額あり（地域①②：150,000円/月、地域③：100,000円/月））",6,一般都民,"513,050 ",子供政策連携室総合推進部若者政策連携推進課,03-5388-3820,
2026,02,子供政策連携室,01,子供家庭,子供への意見聴取等の区市町村支援事業,"子供の意見聴取・フィードバック支援事業（子供の居場所）
子供の意見聴取・フィードバック支援事業（子供の参画）","補助金の目的：区市町村における「子供の居場所」での意見聴取や「子供の参画」の取組を後押し
補助対象者：区市町村
補助対象経費：子供への意見聴取の実施に必要な経費
負担割合：
（子供の居場所）：1年目10/10、2年目2/3、3年目１/2
（子供の参画）：1/2",1,区市町村,"157,500 ",子供政策連携室企画調整部企画調整課,"03-5000-7744又は
03-5000-7745",
2026,02,子供政策連携室,01,子供家庭,子供の未来を育むプレーパーク整備促進事業,子供の未来を育むプレーパーク整備促進事業補助金,"補助金の目的：子供の意見を反映したプレーパークづくりの推進
補助対象者：区市町村
補助対象経費：子供の意見を反映したプレーパークづくりに必要な経費
負担割合：都1/2（上限3,000万円）、補助期間最大３か年",1,区市町村,"325,000 ",子供政策連携室企画調整部企画調整課,03-5000-7743,
